npc_id,sprite_label,map_location_label,npc_type,flag_condition,sprite,x_tile,y_tile,x_pixel_abs,y_pixel_abs
39,hint-man,Onett_Hint Man's House_1F,person,~HINT_GUY_ABSENT,136,251,38,8048,1224
40,chef,Onett_Bakery_1F,person,always,137,227,42,7272,1344
41,woman_purse_green-dress,Onett_Bakery_1F,person,always,58,228,42,7296,1368
42,woman_blonde_red-dress,Onett_Bakery_1F,person,always,68,224,43,7192,1384
43,elevator_attendant,Onett_Bakery_1F,person,always,67,226,43,7232,1376
44,aloysius,Onett_Minch House_1F,person,ALOYSIUS_AT_HOME,147,220,26,7056,848
45,lardna,Onett_Minch House_1F,person,LARDNA_AT_HOME,148,222,27,7128,864
46,buzz-buzz,Onett_Minch House_1F,person,BUZZ_BUZZ_DYING_ON_FLOOR,347,222,27,7112,872
47,picky,Onett_Minch House_1F,person,~POLICE_AT_METEORITE,45,228,26,7320,856
48,prettyman,Onett_Minch House_1F,person,GIYGAS_DEFEATED,59,227,26,7279,852
49,curtains_closed_minch-house,Onett_Minch House_1F,object,~ONETT_DAYTIME,374,227,25,7288,830
50,curtains_closed_minch-house,Onett_Minch House_1F,object,~ONETT_DAYTIME,374,221,26,7094,840
51,curtains_closed_minch-house,Onett_Minch House_1F,object,~ONETT_DAYTIME,374,218,25,6996,830
52,pokey,Onett_Minch House_1F_2F,person,POKEY_AT_HIS_ROOM,44,221,18,7080,600
53,picky,Onett_Minch House_1F_2F,person,PICKY_AT_HIS_ROOM,45,225,19,7200,608
54,curtains_closed_minch-house,Onett_Minch House_1F_2F,object,~ONETT_DAYTIME,374,218,18,6998,584
55,curtains_closed_minch-house,Onett_Minch House_1F_2F,object,~ONETT_DAYTIME,374,222,18,7124,578
56,curtains_closed_minch-house,Onett_Minch House_1F_2F,object,~ONETT_DAYTIME,374,224,17,7171,571
57,curtains_angled,Onett_Minch House_1F_2F,object,~ONETT_DAYTIME,375,227,18,7280,592
58,man_bald_black-suit,Onett_Hotel_1F,person,always,56,250,46,8024,1472
59,bellhop,Onett_Hotel_1F,person,always,73,254,46,8136,1496
60,phone_black,Onett_Hotel_1F,person,always,215,249,46,7986,1472
61,atm-machine,Onett_Hotel_1F_ATM,object,always,259,225,34,7216,1088
62,woman_blonde_red-blazer,Onett_Hotel_1F_Lobby,person,~Unknown Flag,66,237,2,7600,72
63,man_blonde_black-suit,Onett_Hotel_1F_Lobby,person,~Unknown Flag,61,240,3,7688,96
64,bellhop,Onett_Hotel_1F_Lobby,person,JUST_RESTED,73,240,2,7696,64
65,woman_blonde_red-blazer,Onett_Hotel_1F_Lobby_Left-Room,person,Unknown Flag,66,242,43,7760,1376
66,man_blonde_black-suit,Onett_Hotel_1F_Lobby_Left-Room,person,Unknown Flag,61,243,43,7794,1380
67,captain-strong,Onett_Police Station_1F,person,~CAPTAIN_STRONG_NOT_AT_STATION_DESK,75,220,10,7056,328
68,lookalike_marcie,Onett_Police Station_1F,person,always,141,222,11,7112,352
69,cop,Onett_Police Station_1F,person,always,74,219,11,7032,352
70,cop,Onett_Police Station_1F,person,COP_AT_STATION_ENTRANCE,74,221,12,7096,392
71,captain-strong,Onett_Police Station_1F,person,CAPTAIN_STRONG_AT_STATION_ENTRANCE,75,220,12,7057,392
72,man_hat_black-suit,Onett_Police Station_1F_Cells,person,always,63,252,3,8072,96
73,cop,Onett_Police Station_1F_Cells_Backroom,person,~ONETT_COP_1_DEFEATED,74,234,6,7496,192
74,cop,Onett_Police Station_1F_Cells_Backroom,person,~ONETT_COP_2_DEFEATED,74,235,5,7520,186
75,cop,Onett_Police Station_1F_Cells_Backroom,person,~ONETT_COP_3_DEFEATED,74,236,5,7561,173
76,cop,Onett_Police Station_1F_Cells_Backroom,person,~ONETT_COP_4_DEFEATED,74,237,5,7595,171
77,cop,Onett_Police Station_1F_Cells_Backroom,person,~ONETT_COP_5_DEFEATED,74,238,5,7622,186
78,prettyman,Onett_Town Hall_1F,person,always,59,245,18,7848,592
79,man_blonde_black-suit,Onett_Town Hall_1F_Left-Room,person,always,61,219,3,7008,96
80,man_glasses_-black-suit,Onett_Town Hall_1F_Left-Room,person,always,62,221,3,7080,96
81,man_cane_green-jacket,Onett_Town Hall_1F_Left-Room,person,always,52,218,3,6984,120
82,woman_purse_black-dress,Onett_Town Hall_1F_Left-Room,person,always,57,220,4,7064,136
83,man_blonde_black-suit,Onett_Town Hall_1F_Right-Room,person,always,61,243,34,7800,1096
84,man_hat_blue-suit,Onett_Town Hall_1F_Right-Room,person,always,55,242,35,7760,1128
85,woman_blonde_blue-blazer,Onett_Town Hall_1F_Reception,person,always,65,242,26,7768,840
86,mayor-pirkle,Onett_Town Hall_1F_Reception_2F,person,always,154,246,6,7872,200
87,man_bald_black-suit,Onett_Town Hall_1F_Reception_2F,person,always,56,244,6,7832,208
88,cop,Onett_Town Hall_1F_Reception_2F,person,always,74,242,7,7752,240
89,man_blonde_blue-blazer,Onett_Houses_West-Violet-Roof_1F,person,always,70,251,10,8040,320
90,girl_blonde_ponytail,Onett_Houses_West-Blue-Roof_1F,person,always,127,236,19,7552,608
91,prettyman,Onett_Houses_North-Blue-Roof_1F,person,always,59,219,30,7008,976
92,boy_bowler-hat,Onett_Houses_East-Blue-Roof_1F,person,always,125,234,34,7488,1096
93,girl_black-hair_red-jumper,Onett_Houses_East-Orange_1F,person,always,121,219,39,7032,1248
94,exit-mouse-father,Onett_Exit Mouse House_1F,person,always,451,235,43,7520,1384
95,exit-mouse,Onett_Exit Mouse House_1F,person,~HAS_EXIT_MOUSE,436,234,43,7488,1376
96,exit-mouse,Onett_Exit Mouse House_1F,person,always,436,235,42,7528,1352
97,lookalike_pigpen,Onett_Exit Mouse House_1F,person,always,115,236,42,7565,1371
98,woman_blonde_red-dress,Onett_Library_1F,person,always,68,249,14,7984,448
99,man_hat_green-jacket,Onett_Library_1F,person,always,54,244,14,7824,456
100,lookalike_shy-guy-mask,Onett_Library_1F,person,always,119,242,14,7760,472
101,man_hat_black-suit,Onett_Library_1F_2F,person,~LIBRARY_BATHROOM_MAN,63,223,22,7136,728
102,girl_blonde_pink-dress,Onett_Library_1F_Left-Room,person,always,120,217,35,6960,1128
103,man_blonde_i-love-ny-shirt,Onett_Library_1F_Left-Room,person,always,114,222,35,7104,1120
104,man_blonde_blue-oxford,Onett_Library_1F_Left-Room,person,always,112,219,35,7024,1128
105,girl_black-hair_red-jumper,Onett_Library_1F_Left-Room,person,always,121,220,34,7040,1096
106,man_redhead_green-oxford,Onett_Library_1F_Right-Room,person,always,113,217,43,6960,1384
107,elevator_attendant,Onett_Library_1F_Right-Room,person,always,67,221,43,7088,1376
108,man_blonde_blue-blazer,Onett_Library_1F_2F_Room,person,always,70,250,26,8016,840
109,man_glasses_orange-cardigan,Onett_Library_1F_2F_Room,person,always,64,253,26,8096,832
110,nurse,Onett_Hospital_1F,person,always,140,226,30,7248,960
111,healer,Onett_Hospital_1F,person,always,189,226,31,7248,1000
112,woman_redhead_blue-dress,Onett_Hospital_1F,person,always,108,227,31,7280,1000
113,doctor,Onett_Hospital_1F_Doctor's-Office,person,always,139,227,38,7264,1224
114,nurse,Onett_Hospital_1F_Doctor's-Office,person,always,140,228,38,7304,1232
115,man_redhead_green-oxford,Onett_Hospital_1F_2F_Left-Room,person,always,113,244,30,7808,984
116,girl_redhead_pigtails,Onett_Hospital_1F_2F_Right-Room,person,always,128,244,39,7824,1248
117,woman_blonde_blue-blazer,Onett_Hospital_1F_2F_Right-Room,person,always,65,243,38,7795,1238
118,woman_cane_pink-dress,Onett_Hospital_1F_2F,person,always,53,226,47,7256,1520
119,lier-x-agerate,Onett_Lier X Agerate's Shack_1F,person,LIER_INSIDE_HOUSE,152,235,38,7528,1232
120,boy_bowler-hat,Onett_Secret Hideout_1F,person,always,125,249,42,7984,1352
121,boy_fedora,Onett_Secret Hideout_1F,person,always,126,250,41,8016,1328
122,boy_baseball-helmet,Onett_Secret Hideout_1F,person,always,124,251,42,8040,1360
123,entertainers-shack-door,Onett_Scam House_1F,person,always,381,235,44,7544,1424
124,picky_sleeping,Onett,person,PICKY_SLEEPING_AT_METEORITE,382,62,3,2008,112
125,lier-x-agerate,Onett,person,~POKEY_PUNISHED,152,57,3,1828,125
126,cop,Onett,person,COP_AT_ENTERTAINERS_SHACK,74,45,15,1456,504
127,lookalike_pigpen,Onett,person,always,115,61,24,1968,776
128,traveling-entertainer,Onett,person,~GOT_ENTERTAINERS_TRAVEL_CHARM,76,45,18,1440,600
129,girl_blonde_yellow-dress,Onett,person,PEOPLE_IN_ONETT,122,67,30,2152,960
130,helpful-mole,Onett,person,~MONSTERS_IN_ONETT,188,54,24,1728,776
131,man_blonde_i-love-ny-shirt,Onett,person,PEOPLE_IN_ONETT,114,58,36,1872,1168
132,rastaman,Onett,person,PEOPLE_IN_ONETT,78,41,35,1320,1136
133,lookalike_pigpen,Onett,person,PEOPLE_IN_ONETT,115,32,53,1040,1712
134,man_glasses_-black-suit,Onett,person,PEOPLE_IN_ONETT,62,70,35,2240,1128
135,man_blonde_blue-oxford,Onett,person,PEOPLE_IN_ONETT,112,50,45,1616,1456
136,woman_purse_green-dress,Onett,person,PEOPLE_IN_ONETT,58,77,45,2464,1456
137,woman_cane_pink-dress,Onett,person,PEOPLE_IN_ONETT,53,45,44,1440,1424
138,ruffini,Onett,person,PEOPLE_IN_ONETT,130,56,43,1820,1376
139,man_hat_blue-suit,Onett,person,~BOUGHT_SCAM_HOUSE,55,14,55,464,1760
140,man_hat_blue-suit,Onett,person,BOUGHT_SCAM_HOUSE,55,16,55,536,1776
141,saxophonist,Onett,person,~MONSTERS_IN_ONETT,77,10,56,336,1792
142,monster_shark,Onett,person,~SHARK_OUTSIDE_ARCADE_1_DEFEATED,284,46,54,1502,1747
143,monster_shark,Onett,person,~SHARK_OUTSIDE_ARCADE_2_DEFEATED,284,49,56,1568,1792
144,cop,Onett,person,~VISITED_TWOSON,74,53,62,1712,1984
145,cop,Onett,person,~VISITED_TWOSON,74,52,61,1674,1973
146,frank,Onett,person,~QUEST_TO_ZEXONYTE,153,50,50,1616,1616
147,entertainers-shack-door,Onett,object,~ENTERTAINERS_SHACK_UNLOCKED,381,45,17,1456,568
148,mom,Onett,person,NESS_MOM_OUTSIDE,145,83,10,2656,344
149,man_orange-hair_sunglasses,Onett,person,~POLICE_AT_METEORITE,117,77,13,2472,416
150,cop,Onett,person,~POLICE_AT_METEORITE,74,86,17,2752,544
151,cop,Onett,person,~POLICE_AT_METEORITE,74,87,16,2800,528
152,man_hat_blue-suit,Onett,person,~POLICE_AT_METEORITE,55,84,15,2712,496
153,cop,Onett,person,~POLICE_AT_METEORITE,74,78,20,2496,656
154,cop,Onett,person,~POLICE_AT_METEORITE,74,71,18,2272,592
155,cop,Onett,person,~POLICE_AT_METEORITE,74,66,17,2120,560
156,cop,Onett,person,~POLICE_AT_METEORITE,74,47,12,1528,400
157,cop,Onett,person,~POLICE_AT_METEORITE,74,67,7,2165,236
158,cop,Onett,person,~POLICE_AT_METEORITE,74,65,7,2106,236
159,cop,Onett,person,~POLICE_AT_METEORITE,74,67,8,2152,280
160,cop,Onett,person,~POLICE_AT_METEORITE,74,62,7,2000,232
161,pokey,Onett,person,~POLICE_AT_METEORITE,44,66,7,2137,247
162,traveling-entertainer,Onett,person,~GOT_ENTERTAINERS_TRAVEL_CHARM,76,44,19,1409,621
163,man_orange-hair_sunglasses,Onett,person,~FRANKYSTEIN_MKII_DEFEATED,117,52,52,1680,1664
164,captain-strong,Onett,person,~POLICE_AT_METEORITE,75,65,4,2104,152
165,man_glasses_orange-cardigan,Onett,person,~POLICE_AT_METEORITE,64,64,5,2073,177
166,girl_redhead_pigtails,Onett,person,~PATH_TO_TWOSON_OPEN,128,59,58,1912,1856
167,man_hat_blue-suit,Onett,person,~PATH_TO_TWOSON_OPEN,55,56,61,1816,1952
168,streetsign_city,Onett,object,always,204,48,37,1552,1184
169,streetsign_city,Onett,object,always,204,48,47,1552,1504
170,streetsign_city,Onett,object,always,204,61,47,1968,1504
171,streetsign_city,Onett,object,always,204,41,54,1312,1744
172,streetsign_city,Onett,object,always,204,54,54,1728,1744
173,streetsign_city,Onett,object,always,204,66,37,2128,1184
174,streetsign_city,Onett,object,always,204,74,45,2368,1456
175,van,Onett,object,ONETT_DAYTIME,208,62,36,2000,1160
176,red-truck,Onett,object,ONETT_DAYTIME,207,56,55,1816,1768
177,roadblock,Onett,object,~PATH_TO_TWOSON_OPEN,199,51,62,1640,2010
178,roadblock,Onett,object,~PATH_TO_TWOSON_OPEN,199,52,62,1688,2008
179,roadblock,Onett,object,~PATH_TO_TWOSON_OPEN,199,53,62,1720,2000
180,roadblock,Onett,object,~PATH_TO_TWOSON_OPEN,199,54,62,1752,2008
181,mailbox,Onett,object,always,227,33,43,1080,1400
182,mailbox,Onett,object,always,227,73,11,2352,368
183,mailbox,Onett,object,always,227,83,11,2664,368
184,mailbox,Onett,object,always,227,79,45,2552,1440
185,sign_don't-enter,Onett,object,always,228,44,17,1408,560
186,taxi,Onett,object,ONETT_DAYTIME,206,64,46,2072,1496
187,roadblock,Onett,object,POLICE_BARRIERS_AT_ONETT_HILLTOP,199,66,6,2139,216
188,roadblock,Onett,object,POLICE_BARRIERS_AT_ONETT_HILLTOP,199,68,7,2198,242
189,roadblock,Onett,object,~POLICE_AT_METEORITE,199,85,17,2722,562
190,roadblock,Onett,object,~POLICE_AT_METEORITE,199,87,17,2800,552
191,hotel_sign,Onett,object,always,442,62,45,2008,1440
192,sign_small,Onett,object,always,213,58,4,1864,128
193,cloud,Onett,object,ONETT_DAYTIME,203,63,1,2032,56
194,cloud,Onett,object,ONETT_DAYTIME,203,48,6,1552,192
195,cloud,Onett,object,ONETT_DAYTIME,203,50,5,1600,176
196,cloud,Onett,object,ONETT_DAYTIME,203,53,1,1720,48
197,cloud,Onett,object,ONETT_DAYTIME,203,55,0,1768,24
198,meteor,Onett,object,always,197,65,4,2080,144
199,police-car,Onett,object,~POLICE_AT_METEORITE,377,86,17,2776,568
200,police-car,Onett,object,~POLICE_AT_METEORITE,377,71,18,2296,584
201,police-car,Onett,object,~POLICE_AT_METEORITE,377,69,6,2214,214
202,monster_frankystein,Onett,object,~FRANKYSTEIN_MKII_DEFEATED,401,51,50,1656,1608
203,lier-x-agerate,Onett_Lier X Agerate's Shack_1F_B1F,person,LIER_INSIDE_CAVE_1,152,122,222,3928,7112
204,lier-x-agerate,Onett_Lier X Agerate's Shack_1F_B1F_B2F,person,LIER_INSIDE_CAVE_2,152,171,79,5496,2528
205,lier-x-agerate,Onett_Lier X Agerate's Shack_1F_B1F_B2F_B3F,person,LIER_INSIDE_CAVE_3,152,107,67,3448,2144
206,lier-x-agerate,Onett_Lier X Agerate's Shack_1F_B1F_B2F_B3F,person,LIER_INSIDE_CAVE_4,152,99,67,3192,2144
207,lier-x-agerate,Onett_Lier X Agerate's Shack_1F_B1F_B2F_B3F_B4F,person,LIER_BY_MANI_MANI,152,124,186,3984,5976
208,monster_mani-mani-statue,Onett_Lier X Agerate's Shack_1F_B1F_B2F_B3F_B4F,object,~VISITED_TWOSON,293,125,186,4000,5968
209,monster_your-sanctuary,Onett_Giant Step_1F_Hallway_Boss-Room,person,~CONQUERED_SANCTUARY_1,333,34,67,1088,2144
210,king_flashback,Cutscenes_Flashback_1F,person,~PARTY_IS_ROBOTIFIED,399,52,275,1672,8824
211,crib,Cutscenes_Flashback_1F_2F_Ness'-Room,person,always,406,188,67,6016,2144
212,man_mohawk_punk-clothes,Twoson_Cycle Shop_1F,person,always,85,221,238,7072,7624
213,paula's-mom,Twoson_Polestar_1F,person,always,156,234,234,7504,7504
214,girl_blonde_ponytail,Twoson_Polestar_1F,person,always,127,236,234,7576,7512
215,boy_baseball-helmet,Twoson_Polestar_1F,person,always,124,235,235,7544,7528
216,girl_redhead_pigtails,Twoson_Polestar_1F,person,always,128,238,234,7640,7496
217,paula's-dad,Twoson_Polestar_1F_Den,person,~PAULAS_DAD_OUTSIDE,155,211,242,6776,7760
218,cat,Twoson_Polestar_1F_Den_Bedroom,person,GIYGAS_DEFEATED,131,213,251,6820,8032
219,paula,Twoson_Polestar_1F_Den_Bedroom_Paula's-Room,person,PAULA_AT_HER_ROOM,2,251,278,8056,8912
220,orange-kid,Twoson_Orange Kid's House_1F,person,~APPLE_KID_IN_BURGLIN_PARK,175,243,238,7792,7632
221,apple-kid,Twoson_Apple Kid's House_1F,person,~APPLE_KID_NOT_AT_HIS_HOUSE,176,243,246,7800,7896
222,monster_mouse,Twoson_Apple Kid's House_1F,person,~APPLE_KID_NOT_AT_HIS_HOUSE,281,242,247,7768,7920
223,bench,Twoson_Apple Kid's House_1F,object,always,198,242,246,7768,7880
224,junk-pile,Twoson_Apple Kid's House_1F,object,always,414,244,246,7832,7896
225,open-can,Twoson_Apple Kid's House_1F,object,always,225,241,246,7721,7883
226,woman_black-hair_red-clothes,Twoson_Chaos Theater_1F,person,~CHAOS_THEATER_STAGE_UNBLOCKED,116,236,230,7576,7376
227,man_blonde_blue-blazer,Twoson_Chaos Theater_1F,person,always,70,237,231,7608,7400
228,woman_black-hair_red-clothes,Twoson_Chaos Theater_1F,person,CHAOS_THEATER_STAGE_UNBLOCKED,116,238,230,7621,7360
229,girl_blonde_pink-dress,Twoson_Chaos Theater_1F,person,RUNAWAY_BUS_FROM_TWOSON_TO_THREED,120,236,229,7561,7338
230,cop,Twoson_Chaos Theater_1F,person,always,74,233,230,7464,7384
231,girl_blonde_pink-dress,Twoson_Chaos Theater_1F_Concert-Hall,person,RUNAWAY_FIVE_FAN_GIRL_OUTSIDE_BACKSTAGE,120,212,269,6784,8608
232,lookalike_teddy,Twoson_Chaos Theater_1F_Concert-Hall,person,~CHAOS_THEATER_AUDIENCE_ABSENT,118,215,270,6904,8656
233,boy_fedora,Twoson_Chaos Theater_1F_Concert-Hall,person,~CHAOS_THEATER_AUDIENCE_ABSENT,126,213,269,6816,8632
234,man_orange-hair_sunglasses,Twoson_Chaos Theater_1F_Concert-Hall,person,~CHAOS_THEATER_AUDIENCE_ABSENT,117,217,268,6944,8600
235,woman_blonde_red-dress,Twoson_Chaos Theater_1F_Concert-Hall,person,~CHAOS_THEATER_AUDIENCE_ABSENT,68,214,269,6864,8624
236,lookalike_mr-t,Twoson_Chaos Theater_1F_Concert-Hall,person,~CHAOS_THEATER_AUDIENCE_ABSENT,79,210,269,6744,8624
237,woman_purse_green-dress,Twoson_Chaos Theater_1F_Concert-Hall,person,~CHAOS_THEATER_AUDIENCE_ABSENT,58,215,268,6880,8592
238,woman_purse_black-dress,Twoson_Chaos Theater_1F_Concert-Hall,person,~CHAOS_THEATER_AUDIENCE_ABSENT,57,216,267,6917,8565
239,man_bald_black-suit,Twoson_Chaos Theater_1F_Concert-Hall,person,~CHAOS_THEATER_AUDIENCE_ABSENT,56,222,269,7104,8631
240,drunk-man,Twoson_Chaos Theater_1F_Concert-Hall,person,~CHAOS_THEATER_AUDIENCE_ABSENT,60,221,269,7072,8624
241,man_glasses_-black-suit,Twoson_Chaos Theater_1F_Concert-Hall,person,~CHAOS_THEATER_AUDIENCE_ABSENT,62,220,270,7056,8648
242,rastaman,Twoson_Chaos Theater_1F_Concert-Hall,person,~CHAOS_THEATER_AUDIENCE_ABSENT,78,219,268,7024,8600
243,hippy,Twoson_Chaos Theater_1F_Concert-Hall,person,~CHAOS_THEATER_AUDIENCE_ABSENT,361,219,268,7008,8576
244,woman_blonde_blue-blazer,Twoson_Chaos Theater_1F_Concert-Hall,person,~CHAOS_THEATER_AUDIENCE_ABSENT,65,218,269,6976,8624
245,woman_blonde_red-blazer,Twoson_Chaos Theater_1F_Concert-Hall,person,~CHAOS_THEATER_AUDIENCE_ABSENT,66,213,268,6824,8576
246,prettyman,Twoson_Chaos Theater_1F_Concert-Hall,person,~CHAOS_THEATER_AUDIENCE_ABSENT,59,212,267,6792,8561
247,girl_blonde_pink-dress,Twoson_Chaos Theater_1F_Concert-Hall_Dressing-Room,person,~RUNAWAY_FIVE_FAN_GIRL_OUTSIDE_BACKSTAGE,120,252,235,8088,7536
248,runaway-5_lucky,Twoson_Chaos Theater_1F_Concert-Hall_Dressing-Room,person,~RUNAWAY_FIVE_FREE_FROM_CHAOS_THEATER,149,252,234,8080,7504
249,runaway-5_gorgeous,Twoson_Chaos Theater_1F_Concert-Hall_Dressing-Room,person,~RUNAWAY_FIVE_FREE_FROM_CHAOS_THEATER,150,253,234,8125,7504
250,runaway-5_okay,Twoson_Chaos Theater_1F_Concert-Hall_Dressing-Room,person,~RUNAWAY_FIVE_FREE_FROM_CHAOS_THEATER,185,249,235,7992,7528
251,runaway-5_nice,Twoson_Chaos Theater_1F_Concert-Hall_Dressing-Room,person,~RUNAWAY_FIVE_FREE_FROM_CHAOS_THEATER,186,250,233,8000,7480
252,runaway-5_groovy,Twoson_Chaos Theater_1F_Concert-Hall_Dressing-Room,person,~RUNAWAY_FIVE_FREE_FROM_CHAOS_THEATER,187,251,234,8032,7504
253,poochyfud,Twoson_Chaos Theater_1F_Manager's-Office,person,always,158,237,238,7584,7624
254,everdred,Twoson_Everdred's Shack_1F,person,EVERDRED_AT_HIS_HOUSE,157,243,254,7792,8136
255,fast-food-clerk,Twoson_Mach Pizza_1F,person,always,138,204,242,6528,7760
256,man_bald_black-suit,Twoson_Hotel_1F,person,always,56,236,226,7576,7232
257,bellhop,Twoson_Hotel_1F,person,always,73,240,226,7680,7248
258,phone_black,Twoson_Hotel_1F,person,always,215,235,226,7541,7236
259,atm-machine,Twoson_Hotel_1F_ATM,object,always,259,241,278,7728,8896
260,bellhop,Twoson_Hotel_1F_Lobby,person,JUST_RESTED,73,228,259,7320,8288
261,man_glasses_-black-suit,Twoson_Hotel_1F_Lobby,person,always,62,226,261,7256,8352
262,man_blonde_i-love-ny-shirt,Twoson_Hotel_1F_Lobby_Right-Room,person,always,114,244,242,7829,7764
263,mushroom,Twoson_Hotel_1F_Lobby_Right-Room,object,always,226,244,241,7824,7728
264,nurse,Twoson_Hospital_1F,person,always,140,247,274,7920,8768
265,healer,Twoson_Hospital_1F,person,always,189,242,274,7768,8792
266,doctor,Twoson_Hospital_1F_Doctor's-Office,person,always,139,243,230,7776,7368
267,nurse,Twoson_Hospital_1F_Doctor's-Office,person,always,140,244,230,7824,7384
268,man_bald_black-suit,Twoson_Hospital_1F_2F_Right-Room,person,always,56,210,238,6736,7632
269,man_glasses_orange-cardigan,Twoson_Hospital_1F_2F_Left-Room,person,always,64,227,238,7280,7616
270,lookalike_teddy,Twoson_Hospital_1F_2F,person,always,118,221,247,7096,7912
271,man_orange-hair_sunglasses,Twoson_Bus Station_1F,person,always,117,232,268,7424,8584
272,man_cane_green-jacket,Twoson_Bus Station_1F,person,always,52,229,267,7344,8552
273,man_bald_black-suit,Twoson_Bus Station_1F,person,always,56,227,266,7280,8520
274,bus-driver,Twoson_Bus Station_1F,person,always,111,231,266,7408,8520
275,atm-machine,Twoson_Bus Station_1F,object,always,259,232,266,7448,8512
276,phone_payphone_left,Twoson_Bus Station_1F,person,always,216,229,266,7344,8512
277,woman_blonde_black-dress,Twoson_Houses_East-Orange_1F,person,always,178,252,242,8064,7768
278,hint-man,Twoson_Hint Man's House_1F,person,~HINT_GUY_ABSENT,136,251,226,8048,7240
279,boy_blue-ballcap,Twoson_Houses_Northwest-Red-Roof_2F,person,~CARPAINTER_DEFEATED,123,210,246,6744,7888
280,boy_blue-ballcap,Twoson_Houses_Northwest-Red-Roof_1F,person,CARPAINTER_DEFEATED,123,212,255,6812,8163
281,man_blonde_black-suit,Twoson_Houses_Northwest-Red-Roof_1F,person,CARPAINTER_DEFEATED,61,210,255,6744,8160
282,woman_blonde_blue-blazer,Twoson_Houses_Northwest-Red-Roof_1F,person,CARPAINTER_DEFEATED,65,211,254,6776,8152
