entity_id,type,subtype,label,region,x_pixel,y_pixel,visibility_condition,visibility_flag_label,gating_flag_label,direction,movement,door_kind
npc_0994,npc,object,bus_runaway-5,Fourside,3520,4144,flag_set,RUNAWAY_BUS_FROM_FOURSIDE_TO_THREED,,down,190,
npc_0935,npc,person,entertainers-shack-door,Fourside_Department Store_1F,4568,6144,always,,,down,880,
npc_0939,npc,object,food-cart,Fourside_Department Store_1F,4608,6664,flag_cleared,FOURSIDE_DEPT_BLACKOUT,,down,8,
npc_0907,npc,person,entertainers-shack-door,Fourside_Hospital_1F_2F,5993,6834,always,,,down,8,
npc_0878,npc,object,monotoli-door-panel,Fourside_Monotoli_L3_Left_Up_Left_Right_Left_Left-(Monotoli),5456,6000,flag_set,TREMBLING_MONOTOLI_AT_48TH_FLOOR_ABSENT,,down,7,
npc_0913,npc,person,entertainers-shack-door,Fourside_Museum_1F_Exhibit-Room,4656,5232,always,,,down,878,
npc_0695,npc,object,fly-honey-jar,Grapefruit Falls_Belch's Base_1F,3192,5656,always,,,down,631,
npc_0696,npc,object,fly-honey-jar,Grapefruit Falls_Belch's Base_1F,3227,5662,always,,,down,632,
npc_0698,npc,object,ball-and-chain,Grapefruit Falls_Belch's Base_1F,3104,5648,always,,,down,8,
npc_0699,npc,object,ball-and-chain,Grapefruit Falls_Belch's Base_1F,3160,5648,always,,,down,8,
npc_0709,npc,person,entertainers-shack-door,Grapefruit-Falls,6488,248,always,,,down,871,
npc_0428,npc,object,mailbox,Happy-Happy-Village,3808,7696,always,,,down,8,
npc_0429,npc,object,mailbox,Happy-Happy-Village,4136,8040,always,,,down,8,
npc_0430,npc,object,mailbox,Happy-Happy-Village,3640,8152,always,,,down,8,
npc_0431,npc,object,bicycle,Happy-Happy-Village,4168,7632,always,,,down,8,
npc_0434,npc,object,banana,Happy-Happy-Village,3984,7720,flag_cleared,CARPAINTER_DEFEATED,,down,8,
npc_1306,npc,object,robot_unconscious,Lost Underworld_Cave of the Past_1F-Past,196,6080,flag_set,GIYGAS_DEFEATED,,right,8,
npc_1307,npc,object,robot_unconscious,Lost Underworld_Cave of the Past_1F-Past,212,6088,flag_set,GIYGAS_DEFEATED,,left,8,
npc_1308,npc,object,robot_unconscious,Lost Underworld_Cave of the Past_1F-Past,180,6096,flag_set,GIYGAS_DEFEATED,,left,8,
npc_1309,npc,object,ness_robot_unconscious,Lost Underworld_Cave of the Past_1F-Past,196,6104,flag_set,GIYGAS_DEFEATED,,right,8,
npc_1275,npc,object,phase-distorter,Lost Underworld_Cave of the Past_1F-Present,5976,280,flag_set,PHASE_DISTORTER_V3_AT_CAVE_OF_THE_PRESENT,,down,8,
npc_1303,npc,object,waterspout,Lost-Underworld,2672,2992,always,,,down,672,
npc_1304,npc,object,waterspout_healing,Lost-Underworld,2320,2480,always,,,down,673,
npc_1305,npc,object,waterspout,Lost-Underworld,2160,3184,always,,,down,674,
npc_0164,npc,person,captain-strong,Onett,2104,152,flag_cleared,POLICE_AT_METEORITE,,left,8,
npc_0165,npc,person,man_glasses_orange-cardigan,Onett,2073,177,flag_cleared,POLICE_AT_METEORITE,,up,10,
npc_0168,npc,object,streetsign_city,Onett,1552,1184,always,,,down,8,
npc_0169,npc,object,streetsign_city,Onett,1552,1504,always,,,down,8,
npc_0170,npc,object,streetsign_city,Onett,1968,1504,always,,,down,8,
npc_0171,npc,object,streetsign_city,Onett,1312,1744,always,,,down,8,
npc_0172,npc,object,streetsign_city,Onett,1728,1744,always,,,down,8,
npc_0173,npc,object,streetsign_city,Onett,2128,1184,always,,,down,8,
npc_0174,npc,object,streetsign_city,Onett,2368,1456,always,,,down,8,
npc_0175,npc,object,van,Onett,2000,1160,flag_set,ONETT_DAYTIME,,left,585,
npc_0176,npc,object,red-truck,Onett,1816,1768,flag_set,ONETT_DAYTIME,,left,586,
npc_0177,npc,object,roadblock,Onett,1640,2010,flag_cleared,PATH_TO_TWOSON_OPEN,,down,8,
npc_0178,npc,object,roadblock,Onett,1688,2008,flag_cleared,PATH_TO_TWOSON_OPEN,,down,8,
npc_0179,npc,object,roadblock,Onett,1720,2000,flag_cleared,PATH_TO_TWOSON_OPEN,,down,8,
npc_0180,npc,object,roadblock,Onett,1752,2008,flag_cleared,PATH_TO_TWOSON_OPEN,,down,8,
npc_0181,npc,object,mailbox,Onett,1080,1400,always,,,down,8,
npc_0182,npc,object,mailbox,Onett,2352,368,always,,,down,8,
npc_0183,npc,object,mailbox,Onett,2664,368,always,,,down,862,
npc_0184,npc,object,mailbox,Onett,2552,1440,always,,,down,8,
npc_0186,npc,object,taxi,Onett,2072,1496,flag_set,ONETT_DAYTIME,,right,584,
npc_0187,npc,object,roadblock,Onett,2139,216,flag_set,POLICE_BARRIERS_AT_ONETT_HILLTOP,,down,8,
npc_0188,npc,object,roadblock,Onett,2198,242,flag_set,POLICE_BARRIERS_AT_ONETT_HILLTOP,,down,8,
npc_0189,npc,object,roadblock,Onett,2722,562,flag_cleared,POLICE_AT_METEORITE,,down,8,
npc_0190,npc,object,roadblock,Onett,2800,552,flag_cleared,POLICE_AT_METEORITE,,down,8,
npc_0193,npc,object,cloud,Onett,2032,56,flag_set,ONETT_DAYTIME,,down,784,
npc_0194,npc,object,cloud,Onett,1552,192,flag_set,ONETT_DAYTIME,,down,784,
npc_0195,npc,object,cloud,Onett,1600,176,flag_set,ONETT_DAYTIME,,down,784,
npc_0196,npc,object,cloud,Onett,1720,48,flag_set,ONETT_DAYTIME,,down,784,
npc_0197,npc,object,cloud,Onett,1768,24,flag_set,ONETT_DAYTIME,,down,784,
npc_0199,npc,object,police-car,Onett,2776,568,flag_cleared,POLICE_AT_METEORITE,,right,10,
npc_0200,npc,object,police-car,Onett,2296,584,flag_cleared,POLICE_AT_METEORITE,,left,10,
npc_0201,npc,object,police-car,Onett,2214,214,flag_cleared,POLICE_AT_METEORITE,,right,10,
npc_1167,npc,object,monster_guardian-hieroglyph,Onett,528,1336,always,,,down,8,
npc_1263,npc,object,tenda-cave-rock,Onett,172,390,flag_cleared,TENDA_VILLAGE_UNDERGROUND_OPEN,,down,8,
npc_1264,npc,object,open-can,Onett,608,352,always,,,down,8,
npc_1265,npc,object,mailbox,Onett,624,368,always,,,down,8,
npc_1266,npc,object,crt-monitor,Onett,648,304,always,,,down,8,
npc_0038,npc,person,frank,Onett_Burger Shop_1F,7552,494,flag_set,PARTY_IS_ROBOTIFIED,,right,8,
npc_0101,npc,person,man_hat_black-suit,Onett_Library_1F_2F,7136,728,flag_cleared,LIBRARY_BATHROOM_MAN,,up,250,
npc_0203,npc,person,lier-x-agerate,Onett_Lier X Agerate's Shack_1F_B1F,3928,7112,flag_set,LIER_INSIDE_CAVE_1,,right,57,
npc_0205,npc,person,lier-x-agerate,Onett_Lier X Agerate's Shack_1F_B1F_B2F_B3F,3448,2144,flag_set,LIER_INSIDE_CAVE_3,,right,59,
npc_0206,npc,person,lier-x-agerate,Onett_Lier X Agerate's Shack_1F_B1F_B2F_B3F,3192,2144,flag_set,LIER_INSIDE_CAVE_4,,right,60,
npc_0049,npc,object,curtains_closed_minch-house,Onett_Minch House_1F,7288,830,flag_cleared,ONETT_DAYTIME,,down,8,
npc_0050,npc,object,curtains_closed_minch-house,Onett_Minch House_1F,7094,840,flag_cleared,ONETT_DAYTIME,,down,8,
npc_0051,npc,object,curtains_closed_minch-house,Onett_Minch House_1F,6996,830,flag_cleared,ONETT_DAYTIME,,down,8,
npc_0054,npc,object,curtains_closed_minch-house,Onett_Minch House_1F_2F,6998,584,flag_cleared,ONETT_DAYTIME,,down,8,
npc_0055,npc,object,curtains_closed_minch-house,Onett_Minch House_1F_2F,7124,578,flag_cleared,ONETT_DAYTIME,,down,8,
npc_0056,npc,object,curtains_closed_minch-house,Onett_Minch House_1F_2F,7171,571,flag_cleared,ONETT_DAYTIME,,down,8,
npc_0057,npc,object,curtains_angled,Onett_Minch House_1F_2F,7280,592,flag_cleared,ONETT_DAYTIME,,left,8,
npc_0022,npc,object,door_knocking,Onett_Ness' House_1F,7792,344,flag_set,NESS_HOUSE_DOOR_KNOCKING,,left,38,
npc_0023,npc,object,curtains_closed_ness-house,Onett_Ness' House_1F,7753,317,flag_cleared,ONETT_DAYTIME,,down,8,
npc_0024,npc,object,curtains_closed_ness-house,Onett_Ness' House_1F,7559,320,flag_cleared,ONETT_DAYTIME,,down,8,
npc_0026,npc,object,ness_sleeping_head,Onett_Ness' House_1F_2F_Ness'-Room,8115,1088,flag_set,NESS_SLEEPING_AT_HIS_BED,,down,624,
npc_0027,npc,object,animation_zzz_white,Onett_Ness' House_1F_2F_Ness'-Room,8138,1061,flag_set,NESS_SLEEPING_AT_HIS_BED,,down,628,
npc_0028,npc,object,curtains_closed_ness-house,Onett_Ness' House_1F_2F_Ness'-Room,8080,1072,flag_cleared,ONETT_DAYTIME,,down,8,
npc_0029,npc,object,curtains_angled,Onett_Ness' House_1F_2F_Ness'-Room,8176,1104,flag_cleared,ONETT_DAYTIME,,left,8,
npc_0031,npc,object,curtains_closed_ness-house,Onett_Ness' House_1F_2F_Tracy's-Room,7568,688,flag_cleared,ONETT_DAYTIME,,down,8,
npc_0032,npc,object,curtains_angled,Onett_Ness' House_1F_2F_Tracy's-Room,7440,720,flag_cleared,ONETT_DAYTIME,,right,8,
npc_0123,npc,person,entertainers-shack-door,Onett_Scam House_1F,7544,1424,always,,,down,863,
npc_0438,npc,object,teddy-bear_1,Peaceful Rest Valley_Paula's Cabin_1F,7040,9792,flag_cleared,PAULA_JOINS,,right,8,
npc_0204,npc,person,lier-x-agerate,Peaceful-Rest-Valley,5496,2528,flag_set,LIER_INSIDE_CAVE_2,,right,58,
npc_0440,npc,person,happy-happyist,Peaceful-Rest-Valley,5792,1328,flag_set,POKEY_OUTSIDE_PAULA_CABIN,,up,10,
npc_0441,npc,person,happy-happyist,Peaceful-Rest-Valley,5840,1336,flag_set,POKEY_OUTSIDE_PAULA_CABIN,,up,10,
npc_0442,npc,person,monster_crow,Peaceful-Rest-Valley,5776,1336,flag_set,POKEY_OUTSIDE_PAULA_CABIN,,up,10,
npc_0446,npc,person,entertainers-shack-door,Peaceful-Rest-Valley,4976,1176,always,,,down,865,
npc_0447,npc,person,entertainers-shack-door,Peaceful-Rest-Valley,5848,1216,always,,,down,866,
npc_1166,npc,object,monster_guardian-hieroglyph,Peaceful-Rest-Valley,5744,2488,always,,,down,8,
npc_0700,npc,person,ness_unconscious,Saturn Valley_Milky Well_1F,787,5340,flag_set,JUST_WOKE_UP_FROM_MAGICANT,,down,8,
npc_0701,npc,person,paula,Saturn Valley_Milky Well_1F,768,5314,flag_set,JUST_WOKE_UP_FROM_MAGICANT,,down,8,
npc_0702,npc,person,jeff,Saturn Valley_Milky Well_1F,799,5317,flag_set,JUST_WOKE_UP_FROM_MAGICANT,,down,8,
npc_0703,npc,person,poo,Saturn Valley_Milky Well_1F,826,5334,flag_set,JUST_WOKE_UP_FROM_MAGICANT,,left,8,
npc_0704,npc,object,milky-well-spout,Saturn Valley_Milky Well_1F,728,5312,always,,,down,693,
npc_0735,npc,person,mr-saturn,Saturn-Valley,349,7607,flag_set,PARTY_IS_ROBOTIFIED,,left,10,
npc_0736,npc,person,entertainers-shack-door,Saturn-Valley,632,7376,always,,,down,872,
npc_0741,npc,object,phase-distorter,Saturn-Valley,385,7601,flag_set,NESS_NIGHTMARE_DEFEATED,,down,286,
npc_1158,npc,person,entertainers-shack-door,Scaraba,1792,4848,always,,,down,889,
npc_1159,npc,person,entertainers-shack-door,Scaraba,1256,5400,always,,,down,890,
npc_1160,npc,person,camel,Scaraba,1408,4256,always,,,left,10,
npc_1161,npc,person,camel,Scaraba,1704,5328,always,,,left,10,
npc_1198,npc,object,bicycle,Scaraba_Dungeon Man_1F,4240,96,always,,,down,8,
npc_1199,npc,object,taxi,Scaraba_Dungeon Man_1F,4224,152,always,,,right,8,
npc_1202,npc,object,potted-tree,Scaraba_Dungeon Man_1F,4704,256,always,,,down,8,
npc_1205,npc,object,potted-tree,Scaraba_Dungeon Man_1F,4256,688,always,,,down,8,
npc_1211,npc,object,monster_duck,Scaraba_Dungeon Man_1F_2F_3F,3976,6392,always,,,left,12,
npc_1212,npc,object,monster_duck,Scaraba_Dungeon Man_1F_2F_3F,3944,6416,always,,,left,12,
npc_1213,npc,object,monster_duck,Scaraba_Dungeon Man_1F_2F_3F,3952,6456,always,,,right,12,
npc_1214,npc,object,monster_little-pile,Scaraba_Dungeon Man_1F_2F_3F,4288,6520,always,,,down,12,
npc_1215,npc,object,monster_little-pile,Scaraba_Dungeon Man_1F_2F_3F,4248,6560,always,,,down,12,
npc_1216,npc,object,monster_little-pile,Scaraba_Dungeon Man_1F_2F_3F,4288,6568,always,,,down,12,
npc_1217,npc,object,monster_goat,Scaraba_Dungeon Man_1F_2F_3F,4184,6280,always,,,down,12,
npc_1218,npc,object,monster_goat,Scaraba_Dungeon Man_1F_2F_3F,4232,6256,always,,,left,12,
npc_1225,npc,object,potted-tree,Scaraba_Dungeon Man_1F_Doctor's-Office,5976,6704,always,,,down,8,
npc_1195,npc,object,hawk_eye,Scaraba_Pyramid_Entryway_Stairs_Room_Stairs_Sarcophagus-Room_Hawk-Eye-Room,4208,5568,flag_cleared,GOT_HAWK_EYE,,down,8,
npc_1041,npc,object,monster_coffin,Summers and Toto_Museum_1F_Exhibit-Room,6800,8824,always,,,down,8,
npc_1042,npc,object,monster_coffin,Summers and Toto_Museum_1F_Exhibit-Room,6896,8824,always,,,down,8,
npc_1043,npc,object,monster_coffin,Summers and Toto_Museum_1F_Exhibit-Room,6992,8824,always,,,down,8,
npc_1044,npc,object,sarcophagus,Summers and Toto_Museum_1F_Exhibit-Room,6784,8880,always,,,down,8,
npc_1045,npc,object,sarcophagus,Summers and Toto_Museum_1F_Exhibit-Room,6880,8880,always,,,down,8,
npc_1046,npc,object,sarcophagus,Summers and Toto_Museum_1F_Exhibit-Room,6976,8880,always,,,down,8,
npc_1032,npc,person,entertainers-shack-door,Summers and Toto_Restaurant_1F,7120,9016,always,,,down,885,
npc_1072,npc,person,runaway-5_gorgeous,Summers-and-Toto,5400,2744,flag_set,PARTY_IS_ROBOTIFIED,,left,8,
npc_1073,npc,person,runaway-5_lucky,Summers-and-Toto,5424,2744,flag_set,PARTY_IS_ROBOTIFIED,,down,8,
npc_1074,npc,person,runaway-5_okay,Summers-and-Toto,5480,2800,flag_set,PARTY_IS_ROBOTIFIED,,down,10,
npc_1075,npc,person,woman_blonde_swimwear,Summers-and-Toto,5480,2824,flag_set,PARTY_IS_ROBOTIFIED,,up,10,
npc_1076,npc,person,entertainers-shack-door,Summers-and-Toto,6896,2936,always,,,down,887,
npc_1079,npc,object,taxi,Summers-and-Toto,4472,2792,always,,,right,8,
npc_1081,npc,object,red-truck,Summers-and-Toto,5232,2800,always,,,down,8,
npc_1082,npc,object,bicycle,Summers-and-Toto,5360,2744,always,,,down,8,
npc_1083,npc,object,potted-tree,Summers-and-Toto,4872,2744,always,,,down,8,
npc_1084,npc,object,potted-tree,Summers-and-Toto,5384,2744,always,,,down,8,
npc_1087,npc,object,bus_runaway-5,Summers-and-Toto,5480,2736,flag_set,PARTY_IS_ROBOTIFIED,,down,8,
npc_1088,npc,object,boat,Summers-and-Toto,7216,2984,always,,,down,8,
npc_0531,npc,person,monster_boogie-tent_eye,Threed,5392,9624,flag_set,BOOGEY_TENT_IN_THREED,,down,592,
npc_0532,npc,person,monster_boogie-tent_eye,Threed,5424,9624,flag_set,BOOGEY_TENT_IN_THREED,,right,592,
npc_0533,npc,person,monster_boogie-tent_mouth,Threed,5408,9656,flag_set,BOOGEY_TENT_IN_THREED,,down,591,
npc_0538,npc,person,Threed-hotel-woman,Threed,5512,9000,flag_set,ZOMBIE_CHICK_OUTSIDE_HOTEL,,down,77,
npc_0546,npc,person,monster_ghost,Threed,5112,9704,flag_set,MASTER_BELCH_DEFEATED,,down,10,
npc_0547,npc,person,monster_ghost,Threed,5528,9688,flag_set,MASTER_BELCH_DEFEATED,,down,12,
npc_0548,npc,person,monster_dog,Threed,5592,9736,flag_set,MASTER_BELCH_DEFEATED,,down,12,
npc_0549,npc,person,entertainers-shack-door,Threed,5221,8381,flag_cleared,ZOMBIE_GUARDS_AWAY,,down,8,
npc_0550,npc,person,entertainers-shack-door,Threed,5208,8392,flag_cleared,ZOMBIE_GUARDS_AWAY,,down,8,
npc_0567,npc,person,entertainers-shack-door,Threed,5752,8336,always,,,down,870,
npc_0568,npc,person,entertainers-shack-door,Threed,5600,9112,always,,,down,873,
npc_0571,npc,object,mailbox,Threed,6136,9392,always,,,down,8,
npc_0572,npc,object,lamppost,Threed,5712,8688,always,,,down,8,
npc_0573,npc,object,lamppost,Threed,5400,8728,always,,,down,8,
npc_0574,npc,object,lamppost,Threed,5304,8912,always,,,down,8,
npc_0575,npc,object,lamppost,Threed,5784,8944,always,,,down,8,
npc_0576,npc,object,lamppost,Threed,5992,8744,always,,,down,8,
npc_0577,npc,object,lamppost,Threed,6152,9184,always,,,down,8,
npc_0578,npc,object,lamppost,Threed,5336,9384,always,,,down,8,
npc_0579,npc,object,lamppost,Threed,5824,9328,always,,,down,8,
npc_0581,npc,object,bench,Threed,5496,9032,always,,,down,8,
npc_0584,npc,object,bus,Threed,5792,9016,flag_set,MASTER_BELCH_DEFEATED,,right,595,
npc_1277,npc,person,ness_unconscious,Threed,6172,9800,flag_set,JUST_WOKE_UP_FROM_MAGICANT,,down,8,
npc_1278,npc,person,paula,Threed,6188,9762,flag_set,JUST_WOKE_UP_FROM_MAGICANT,,down,8,
npc_1279,npc,person,jeff,Threed,6149,9775,flag_set,JUST_WOKE_UP_FROM_MAGICANT,,down,8,
npc_1280,npc,person,poo,Threed,6216,9796,flag_set,JUST_WOKE_UP_FROM_MAGICANT,,left,8,
npc_1281,npc,person,flame-spout,Threed,6120,9760,always,,,down,693,
npc_0484,npc,person,Threed-hotel-woman,Threed_Hotel_1F,6728,9320,flag_set,ZOMBIE_CHICK_AT_HOTEL_1,,right,78,
npc_0489,npc,person,Threed-hotel-woman,Threed_Hotel_1F_Lobby,7808,9304,flag_set,ZOMBIE_CHICK_AT_HOTEL_2,,right,79,
npc_0492,npc,person,Threed-hotel-woman,Threed_Hotel_1F_Lobby_Left-Room,7576,9440,flag_set,ZOMBIE_CHICK_AT_HOTEL_3,,right,80,
npc_0493,npc,person,monster_zombie,Threed_Hotel_1F_Lobby_Left-Room,7632,9432,flag_set,ZOMBIE_CHICK_AT_HOTEL_3,,down,80,
npc_0494,npc,person,monster_ghost,Threed_Hotel_1F_Lobby_Left-Room,7616,9440,flag_set,ZOMBIE_CHICK_AT_HOTEL_3,,right,80,
npc_0495,npc,person,monster_zombie,Threed_Hotel_1F_Lobby_Left-Room,7608,9456,flag_set,ZOMBIE_CHICK_AT_HOTEL_3,,right,80,
npc_0496,npc,person,monster_ghost,Threed_Hotel_1F_Lobby_Left-Room,7624,9464,flag_set,ZOMBIE_CHICK_AT_HOTEL_3,,right,80,
npc_0497,npc,person,monster_zombie-dog,Threed_Hotel_1F_Lobby_Left-Room,7560,9448,flag_set,ZOMBIE_CHICK_AT_HOTEL_3,,right,8,
npc_0776,npc,person,entertainers-shack-door,Transitions_Dusty Dunes to Fourside_Fourside-Bridge,5656,9960,always,,,down,876,
npc_0795,npc,object,backhoe,Transitions_Dusty Dunes to Fourside_Fourside-Bridge,5008,10000,flag_set,DIAMOND_TO_BE_DELIVERED,,down,256,
npc_0323,npc,person,lookalike_teddy,Twoson,2052,7065,flag_set,,,right,8,
npc_0334,npc,person,everdred,Twoson,1368,6872,flag_cleared,EVERDRED_NOT_AT_ROOF,,right,647,
npc_0337,npc,person,cat_sleeping,Twoson,2124,7008,flag_cleared,GIYGAS_DEFEATED,,down,8,
npc_0350,npc,object,bench,Twoson,2440,7168,always,,,down,8,
npc_0351,npc,object,bench,Twoson,2093,7063,always,,,down,8,
npc_0353,npc,object,mailbox,Twoson,2408,6712,always,,,down,8,
npc_0354,npc,object,mailbox,Twoson,2041,7097,always,,,down,8,
npc_0355,npc,object,mailbox,Twoson,2168,7480,always,,,down,8,
npc_0358,npc,object,van,Twoson,1992,6568,always,,,right,589,
npc_0359,npc,object,bicycle,Twoson,1488,6528,always,,,down,864,
npc_0360,npc,object,taxi,Twoson,1368,6584,always,,,right,590,
npc_0362,npc,object,streetsign_city,Twoson,1984,6368,always,,,down,8,
npc_0363,npc,object,streetsign_city,Twoson,1920,6544,always,,,down,8,
npc_0364,npc,object,streetsign_city,Twoson,1616,6592,always,,,down,8,
npc_0366,npc,object,streetsign_city,Twoson,2253,6592,always,,,down,867,
npc_0368,npc,object,streetsign_city,Twoson,1824,7120,always,,,down,8,
npc_0370,npc,object,streetsign_city,Twoson,2144,7168,always,,,down,8,
npc_0371,npc,object,banana,Twoson,1424,7048,always,,,down,8,
npc_0372,npc,object,banana,Twoson,1456,7048,always,,,down,8,
npc_0452,npc,person,ness_unconscious,Twoson,3105,8218,flag_set,JUST_WOKE_UP_FROM_MAGICANT,,down,8,
npc_0453,npc,person,paula,Twoson,3075,8196,flag_set,JUST_WOKE_UP_FROM_MAGICANT,,down,8,
npc_0454,npc,person,jeff,Twoson,3112,8192,flag_set,JUST_WOKE_UP_FROM_MAGICANT,,down,8,
npc_0455,npc,person,poo,Twoson,3139,8208,flag_set,JUST_WOKE_UP_FROM_MAGICANT,,left,8,
npc_1119,npc,person,ness_unconscious,Twoson,3562,6228,flag_set,JUST_WOKE_UP_FROM_MAGICANT,,down,8,
npc_1120,npc,person,paula,Twoson,3546,6185,flag_set,JUST_WOKE_UP_FROM_MAGICANT,,down,8,
npc_1121,npc,person,jeff,Twoson,3577,6189,flag_set,JUST_WOKE_UP_FROM_MAGICANT,,down,8,
npc_1122,npc,person,poo,Twoson,3592,6208,flag_set,JUST_WOKE_UP_FROM_MAGICANT,,left,8,
npc_0223,npc,object,bench,Twoson_Apple Kid's House_1F,7768,7880,always,,,down,8,
npc_0224,npc,object,junk-pile,Twoson_Apple Kid's House_1F,7832,7896,always,,,down,8,
npc_0225,npc,object,open-can,Twoson_Apple Kid's House_1F,7721,7883,always,,,down,8,
npc_0263,npc,object,mushroom,Twoson_Hotel_1F_Lobby_Right-Room,7824,7728,always,,,down,605,
npc_0632,npc,person,monkey-girl,Winters,432,4304,flag_set,BUBBLE_MONKEY_IN_PARTY,,right,284,
npc_0640,npc,person,entertainers-shack-door,Winters,344,4360,always,,,down,883,
npc_0641,npc,person,entertainers-shack-door,Winters,592,3432,always,,,down,868,
npc_0642,npc,object,animation_tessie-water_fill-layer,Winters,626,3506,flag_set,LAKE_TESS_WIND_BLOWING,,down,8,
npc_0643,npc,object,animation_tessie-water_fill-layer,Winters,679,3530,flag_set,LAKE_TESS_WIND_BLOWING,,down,8,
npc_0644,npc,object,animation_tessie-water_fill-layer,Winters,687,3572,flag_set,LAKE_TESS_WIND_BLOWING,,down,8,
npc_0647,npc,object,rainy-pond-waterdrop,Winters,311,3799,always,,,down,769,
npc_0648,npc,object,rainy-pond-waterdrop,Winters,352,3803,always,,,down,769,
npc_0649,npc,object,rainy-pond-waterdrop,Winters,296,3832,always,,,down,769,
npc_0650,npc,object,rainy-pond-waterdrop,Winters,326,3826,always,,,down,769,
npc_0651,npc,object,rainy-pond-waterdrop,Winters,352,3840,always,,,down,769,
npc_0652,npc,object,rainy-pond-waterdrop,Winters,303,3851,always,,,down,769,
npc_0653,npc,object,rainy-pond-waterdrop,Winters,336,3856,always,,,down,769,
npc_0654,npc,object,animation_tessie-water_fill-layer,Winters,616,3572,flag_set,LAKE_TESS_WIND_BLOWING,,down,8,
npc_0655,npc,object,animation_tessie-water_top,Winters,549,3483,flag_set,LAKE_TESS_WIND_BLOWING,,down,485,
