address,dialogue
c512c2,"[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[END]"
c513a4,"[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[END]"
c51486,"[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[END]"
c51568,"[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[END]"
c51700,"[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[END]"
c51898,"[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[END]"
c5197a,"[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[GOTO]
[END]"
c51b12,"-Hello there! How may I help you?[END]"
c51b28,-Thank you very much.c51b31,-Please come again.c51b39,"-Can I get you anything?c51b49,"- All right.[END]"
c51b57,-Which of you will carry this?c51b6a,"-Thank you. Are you going to equip it here?[END]"
c51b7e,"-Would you like me to buy the for $[END]"
c51b9d,"--Do you still want to buy it?[END]"
c51bb7,"-Please come again.[END]"
c51bc0,"-Excuse me, uhhh... you don't seem to have enough money.[END]"
c51bde,"-I'm afraid you cannot carry anything else.-Do you want to sell some things that you don't need?[END]"
c51c03,-What do you want to sell?c51c0e,"- I can buy it for $-Would you like to do that?[END]"
c51c38,"-Please come again.[END]"
c51c41,"-I don't think you have any thing that you can sell.[END]"
c51c56,"-I am sorry, but we cannot buy the [END]"
c51c6e,"-Thank you very much.[END]"
c51c78,"-Thank you for shopping here.[END]"
c51c87,"-Can I get you anything else?[END]"
c51c95,"-What would you like to get next?[END]"
c51ca3,"-It looks like -Would someone else like to carry it?[END]"
c51ccb,"-Hi, come in, come in!-What can I do for you today?[END]"
c51cef,-Thanks a bunch!c51cfa,"-You don't want to buy anything from me?-Oh, you hurt my feelings.c51d20,-Can I help you find something?c51d31,"-[END]"
c51d39,-Who's going to carry it?c51d45,"-Do you want to, like, -equip- it here?[END]"
c51d5b,"-I can buy your for $[END]"
c51d7b,"--Do you still want to buy it?[END]"
c51d96,"-So, you say you don't want it... Hmmmm...[END]"
c51db0,"-Oh no! Don't tell me you don't have enough money!![END]"
c51dcb,"-Oh, my!-I just don't think you can carry any more than what you already have.-But you know, I might be able to buy some of the stuff you don't need.[END]"
c51e14,-What do you want to sell?c51e1f,"-The I'll buy it for $-Do you wanna sell it?[END]"
c51e4a,"-Oh, so you don't want to do that? Well, all right.[END]"
c51e67,"-Well, it looks like you don't have anything to sell to us.[END]"
c51e81,"-Oh, no! You can't sell that here.[END]"
c51e95,"-Thanks a bunch![END]"
c51ea1,"-Thanks again.[END]"
c51ea9,"-Do you need anything else from me?[END]"
c51eb6,"-What can I do for you?[END]"
c51ec4,"--Does anyone else want to carry it?[END]"
c51eea,"-Hey dudes! It's summer! It's the manly time of year! Time for sports, guys!-What can I do you for?[END]"
c51f2c,"-Hey buddy, thanks! See you around!c51f45,"-If you ever need anything, come back here, and I'll set you up!c51f62,-So what'll it be today?c51f74,"-[END]"
c51f7c,-Which of you is going to carry this?c51f91,"-So, man, are you gonna equip it here?[END]"
c51fa7,"-Can I buy your for $[END]"
c51fc8,"- Do ya still want to buy it?[END]"
c51fe7,"-Catch ya later![END]"
c51ff8,"-Oh, most heinous! You dudes don't have enough money for this.[END]"
c5201d,"-Dudes! You simply have too much stuff in your kit!-But don't sweat it, I can buy some stuff you don't need.[END]"
c52059,"-Now, you're sure you want to sell this to me...c5206d,"-The I'll buy it for $-You positive you want to sell it?[END]"
c5209b,"-OK.[END]"
c520a2,"-Man, you don't have anything to sell me![END]"
c520b9,"-Sorry dude, but I can't buy that.[END]"
c520cf,"-Thanks![END]"
c520d5,"-Thanks, buddy![END]"
c520e1,"-Is there anything else I can do for you?[END]"
c520f1,"-What is it?[END]"
c520fa,"--Does somebody else want to carry it?[END]"
c5211e,"-Hi!-Can I help you?[END]"
c52130,-Thanks so much!c52139,-Are you here just to say -Hi-? What a loser!c52154,"-So, what are you going to buy?c52163,"-[END]"
c5216b,-Who's going to carry this?c5217a,"-Would you like to equip it here?[END]"
c52189,"-Do you want me to buy your for $[END]"
c521aa,"-Even though -do you still want to purchase it?[END]"
c521d3,"-Please come again.[END]"
c521dc,"-I'm sorry, but you don't have enough money.[END]"
c521ec,"-Oh, how are you planning to carry this? You've got too much stuff!-Well, I guess I could buy the stuff you don't need.-Do you want to sell anything?[END]"
c5222e,-What can you sell me?c5223c,"- I'll pay $-Is that okay?[END]"
c52261,"-Hummm. Is that so?[END]"
c52272,"-Oh, so you don't really have anything to sell?[END]"
c52288,"-I'm sorry, but I can't buy that.[END]"
c52299,"-Thank you very much.[END]"
c522a3,"-Thank you.[END]"
c522aa,"-Is there anything I can do for you?[END]"
c522ba,"-What can I do for you now?[END]"
c522ca,"--Will another one of you take it?[END]"
c522ef,"-Hi! Welcome to my store.-What do you need?[END]"
c5230c,-Thank you!c52312,"-This place isn't for looky loos. If you're not buying, get out!c52339,"-So, you're going to buy something, eh?c5234d,"-[END]"
c52355,-Who's going to carry it?c52361,"-Are you going to equip it here?[END]"
c52371,"-I'll buy your for $[END]"
c5238f,"-Even though -Well, it's your money...[END]"
c523be,"-Hurry back now.[END]"
c523cb,"-Hey! What are you trying to pull?! You haven't got enough money!![END]"
c523ef,"-Hey! You've already have got enough junk!-Do you want to sell me some of the junk you don't need?[END]"
c5241d,-What can you sell me?c5242b,"- I'll give you $-How would that be?[END]"
c5244f,"-Hurrm. Changed your mind, eh?[END]"
c52469,"-C'mon! You don't have anything to sell, do you?![END]"
c52485,"-Sorry, but I have no use for that.[END]"
c5249a,"-Hey, it was nice doing business with you.[END]"
c524b2,"-Thanks.[END]"
c524b8,"-Will there be anything else?[END]"
c524c5,"-What else do you want?[END]"
c524d2,"--Can one of you others carry it?[END]"
c524f7,"-If ye be headin' to Scaraba, ye ought to shop here.-Things're expensive down there...-So, what're ye lookin' fer?[END]"
c52546,"-Thanks much.-If'n yer going to Scaraba, take care of yerself.c5256c,-Please come again!c52574,"-What would ye like, then?c52583,"-[END]"
c5258b,-Which of ye is goin' to carry this?c525a4,"-Would ye like to equip it here, then?[END]"
c525bb,"-Would ye like it if I bought yer for $[END]"
c525e6,"--Do ye still want to buy it?[END]"
c52603,"-Yer not goin' to buy this thing? All righty then.[END]"
c52622,"-Beggin' yer pardon, but it appears ye don't have enough money...[END]"
c5264b,"-You've got entirely too many goodies.-Would ye like me to take some of those things off yer hands?-I can buy the ones ye don't need, if ye want.[END]"
c526a2,"-What would ye like to sell me, then?c526b8,"- I would pay $-Are ye happy with my offer?[END]"
c526e5,"-Oh, it's not quite what ye expected? Well, all righty then.[END]"
c5270f,"-Oh? Well, it appears to me that ye don't have anything to sell.[END]"
c52732,"-Beggin' yer pardon, but I can't buy that.[END]"
c52750,"-Here ye go. Thank ye.[END]"
c52764,"-Thank ye kindly.[END]"
c52776,"-Will ye be needin' anything else?[END]"
c52788,"-What do ye need now?[END]"
c52796,"-It appears -Will someone else take this instead?[END]"
c527c7,"-Welcome, welcome! Ach, the heat! Is your body okay?-Can I interest you in some of my merchandise?[END]"
c52809,"-Ohh, thank you very much. May you never find rocks in your sandals.c52836,-Why don't you buy something? I've got a family to feed!c52855,-What would you like?c52860,"-[END]"
c52868,"-So, which of you will take this wonderful item?c52885,"-Will you equip it here?[END]"
c52893,"-Would you be interested in selling your -for $[END]"
c528bf,"--Do you still want to buy this marvelous thing?[END]"
c528eb,"-Very well then.[END]"
c528f9,"-A thousand pardons, but you do not seem to have the money-required to make this purchase.[END]"
c52938,"-Ahh, I can see that your caravan is overloaded.-Would you like to sell some of your extra items to me?[END]"
c52972,"-Very well then, what would you like to sell?c52989,"- Ahhh, I would pay you... $-A trifle, I realize, but do you accept?[END]"
c529d2,"-Very well then.[END]"
c529e0,"-From my humble vantage point, it appears you have nothing to sell.[END]"
c52a09,"-A thousand pardons. We do not carry that item here.[END]"
c52a2a,"-Ahh, you are most gracious and kind.[END]"
c52a45,"-Thank you for visiting my poor shop.[END]"
c52a5c,"-If there is anything else I can do for you, please, do not hesitate to ask.[END]"
c52a82,"-So, what more can I do for you?[END]"
c52a92,"--Perhaps another of your party could bear this load?[END]"
c52acc,"-If you've already got what you need, great!-But if you don't, well, that would be a real shame.-Take a good look at my menu and decide.-Is there anything listed that you might want?[END]"
c52b37,"-If you do decide that you need any of my goodies, you just hurry on back now, y'hear?c52b67,"-Come back any time, if do need any of my goods.c52b82,-What'll it be?c52b8d,"-The [END]"
c52b9b,-Who's going to carry this?c52baa,"-Will you be equipping that here?[END]"
c52bbd,"-I can buy your for $[END]"
c52bdd,"--Are you sure you really need it?[END]"
c52c00,"-Oh? Decided you don't want to buy it, huh?[END]"
c52c1c,"-Hmmm... Hate to break this to you, but you don't have enough money.[END]"
c52c3d,"-Oh... uh... it looks like you've got too many goods to carry.-Would you be willing to sell me some of the goods you don't need?[END]"
c52c81,-Fantastic! What do you wanna sell?c52c9b,"- I'd say it's worth about... $-Whaddya say, partner?[END]"
c52cd4,"-OK, I see. Y'all come back now, hear?[END]"
c52ced,-What gives? You don't have anything to sell.c52d03,"-Look, I'm really sorry, but we can't buy that.[END]"
c52d1e,"-Thanks a million![END]"
c52d2c,"-Thanks a bunch![END]"
c52d38,"-Is there anything else I can get for you while you're here?[END]"
c52d54,"-What'll it be?[END]"
c52d5f,"-Sakes alive! -Maybe someone else can carry it.[END]"
c52d8c,-Please come again.c52d94,"-Sssshhh! Don't talk too loud!-What do you want?[END]"
c52db6,"-...you again?! What do you want now?[END]"
c52dcc,"-Will that be all? Good luck, buddy!c52de8,"-So that's everything? Keep on the watch for bad guys.c52e0d,-I've got what you need.c52e1c,"-[END]"
c52e24,-Who's gonna lug this around?c52e3a,"-OK. I suppose you're going to want to equip it here?[END]"
c52e59,"-The I'd say about $-Take it or leave it.[END]"
c52e85,"--Are you intent on purchasing it anyway?[END]"
c52eb2,"-Well, that's showing good sense. You shouldn't strain yourself too much.[END]"
c52ed7,"-Hold it just a second! You haven't got enough money![END]"
c52ef5,"-You aren't going to be able to carry any more stuff.-You're dragging around all that junk...-I guess I could help you out by buying some things that you don't need...[END]"
c52f4a,-What are you going to pawn off on me?c52f5f,"- I'll give you $-Take it or leave it.[END]"
c52f94,"-...I don't think you'll find a better price anywhere else.[END]"
c52fb6,"-What are you trying to pull, anyway?-You say you want to sell, but you have nothing to offer?!-You've got some nerve, kid![END]"
c52ffa,"-Forget it! I don't want to buy that junk![END]"
c53018,"-Excellent. Glad we could work something out.[END]"
c53037,"-Thank you.[END]"
c53063,"-So, will there be anything else?[END]"
c53072,"-What is it now?[END]"
c5307d,"--Is anyone else willing to carry it?[END]"
c530a2,"You come buying?-You can sell, too.-I, Mr. Saturn, boing-can do all for you.-What do you want zoom?c530fc,"you thank!c5310f,"Boing!c5311f,"buying zoom?c53134,"c53144,"you carry this burden?c53161,"here?c53172,"-Uhh, that one is $-What think you about-that price... zoom?c531ba,"-Boing!-Still wanna buy?c531ea,"gonna buy,-don't buy zoom!c53212,"-at a looking boing glance, no chance.-No enough-cashoooooola. Zoicks!c53259,"-surprise. Zoom...-You have much junk.c5328f,"sell me things-at me boing?c532b3,"-The most us pay that is $-That kay-o on you?-Ding! Ding!c532fa,"c53312,"-try of tricking boing?-'Cause you have no anything- selling. Ding Ding!c53363,"-No can buy that.c5338f,"you thank.c533a3,"c533b6,"-else need?c533d5,"c533e5,"kookie much junk?-Does anyone want help Zoom?c5341d,"-Let's play store. My friend Ay-go loves this game. So...-Hi! May I help you?[END]"
c53454,"-Bye bye! Let's play again some time!c5346f,"-Bye bye! Let's play again some time!c5348a,-Are you looking for anything in particular?c5349f,"-[END]"
c534a7,-Who is going to carry this?c534b6,"-Do you want to try equipping it here?[END]"
c534c8,"-Do you want me to buy your -for $[END]"
c534e9,"-Did you realize that -Do you still want to purchase it?[END]"
c53515,"-Well, the customer is always right.[END]"
c5352c,", it appears you do not have the money necessary for this transaction.[END]"
c53562,"-I really don't think you can carry any more purchases.-You can come again after you sell something,-or you can simply discard an item to lighten your load.-Or, you might want to sell the things you don't need here![END]"
c535d3,-What would you like to sell?c535df,"- I'm authorized to pay up to $-How about it?[END]"
c53615,"-That's fine. It's the customer's prerogative to change his or her mind.[END]"
c53645,"-Though I really would like to buy something from you, you have nothing to offer.[END]"
c5366d,"-Sorry, I'm not authorized to buy that.[END]"
c53687,"[GOTO]
.[END]"
c5369d,"-I'll give Ay-go these colorful papers you gave me.[END]"
c536c1,"-Will there be anything else today?[END]"
c536d2,"-What are you going to do now?[END]"
c536e1,"-It looks like -You want to have one of your friends carry it?[END]"
c53711,"--By keeping it as one of your items,-it deflects a lightning attack back at the attacker.c53750,"--[GOTO]
c53761,"--[GOTO]
c53772,"--There's no way of knowing its original use.-It's just some kind of broken gadget.[GOTO]
c537bc,"--There's no way of knowing its original use.-It's just some kind of broken mechanism.[GOTO]
c53809,"--A broken air gun.[GOTO]
c5382a,"--A broken spray can.[GOTO]
c5384d,"--A broken laser gun.[GOTO]
c53870,"--A contraption that looks like an iron.[GOTO]
c53897,"--It looks like a busted water pipe.[GOTO]
c538bc,"--A broken beam cannon.[GOTO]
c538e0,"--A broken tube-shaped item.[GOTO]
c53908,"--A broken bazooka.[GOTO]
c53929,"--A broken apparatus that is shaped like a trumpet.[GOTO]
c53960,"--A broken device that looks like a harmonica.[GOTO]
c5398e,"--A piece of broken equipment that looks like a satellite dish.[GOTO]
c539c4,"-[GOTO]
c539d4,"-[GOTO]
c539e4,"-[GOTO]
c539f4,"-[GOTO]
c53a04,"-[GOTO]
c53a14,"-[GOTO]
-This item looks like it could have had cork put into the core!c53a47,"-[GOTO]
c53a57,"-[GOTO]
c53a67,"-[GOTO]
c53a77,"-[GOTO]
-When equipped, it increases your guts.c53a9f,"-[GOTO]
-You can't help but swing this bat with all your might.-There's a good chance that you may just whiff.c53ae6,"-[GOTO]
c53af6,"-[GOTO]
c53b06,"-[GOTO]
c53b16,"-[GOTO]
c53b26,"-[GOTO]
c53b36,"-[GOTO]
c53b46,"-[GOTO]
c53b56,"-[GOTO]
-It increases your offense.c53b76,"-[GOTO]
c53b86,"-[GOTO]
c53b96,"-[GOTO]
c53ba6,"-[GOTO]
c53bb6,"-[GOTO]
c53bc6,"-[GOTO]
c53bd6,"-[GOTO]
